Segments,MEAN_Event_Speed_Acc,MEAN_Event_Speed_Brk,MEAN_Speed_Diff_Acc,MEAN_Speed_Diff_Brk,MEAN_distance_Acc,MEAN_distance_Brk,Harsh_Events_Rate,Mod_Freq_Acc,Mod_Freq_Brk,FREQUENCY_Acc,FREQUENCY_Brk,Days_Acc,Days_Brk,,
J1,22.686,45.921,11.548,-15.827,3.465,4.356,1.388,1.415,1.138,300,33,212,29,,
J2,20.587,40.483,12.290,-14.873,3.535,3.849,1.386,1.430,1.105,266,42,186,38,,
J3,20.923,40.228,11.920,-14.136,3.544,3.074,1.280,1.309,1.000,233,24,178,24,,
J4,22.400,43.434,11.017,-14.649,3.157,3.697,1.182,1.169,1.222,69,22,59,18,,
J5,23.390,50.123,10.933,-14.445,3.685,3.573,1.236,1.207,1.269,99,85,82,67,,
J6,20.608,43.426,11.243,-15.423,3.338,3.593,1.317,1.356,1.200,198,66,146,55,,
J7,20.278,47.190,11.069,-14.517,3.521,3.789,1.196,1.230,1.103,171,64,139,58,,
J8,22.203,44.575,10.880,-14.782,3.503,3.338,1.221,1.198,1.253,145,104,121,83,,
J9,20.703,43.675,11.470,-14.972,3.988,6.670,1.222,1.264,1.086,206,63,163,58,,
J10,19.790,40.731,11.978,-14.339,3.482,4.091,1.421,1.475,1.136,264,50,179,44,,
J11,20.995,43.127,10.922,-14.532,3.820,3.814,1.345,1.285,1.414,185,164,144,116,,
J12,21.699,48.578,10.894,-15.189,4.379,3.836,1.272,1.333,1.085,196,64,147,59,,
J13,23.442,53.559,11.605,-15.240,3.216,4.039,1.154,1.156,1.148,89,31,77,27,,
J14,21.848,52.637,10.995,-15.291,3.521,4.208,1.127,1.130,1.118,61,19,54,17,,
J15,23.153,49.349,11.433,-15.318,3.443,5.828,1.159,1.194,1.069,80,31,67,29,,
J16,21.466,39.283,11.590,-14.626,4.158,4.843,1.423,1.450,1.087,306,25,211,23,,
J17,20.580,43.345,11.832,-16.770,3.715,3.153,1.150,1.164,1.000,149,14,128,14,,
J18,25.421,40.978,10.942,-14.771,4.407,4.207,1.144,1.164,1.105,78,42,67,38,,
J19,23.288,40.579,11.186,-14.593,3.561,3.305,1.285,1.312,1.050,185,21,141,20,,
J20,21.185,47.570,11.629,-13.990,3.730,4.507,1.212,1.236,1.130,89,26,72,23,,
J21,19.859,43.440,12.875,-14.792,3.381,3.259,1.291,1.314,1.125,134,18,102,16,,
J22,22.350,45.288,11.673,-14.453,3.438,3.627,1.066,1.079,1.000,68,14,63,14,,
J23,22.421,42.569,13.042,-15.254,3.180,3.621,1.401,1.421,1.000,216,11,152,11,,
J24,20.524,62.985,10.846,-14.893,4.348,4.541,1.068,1.050,1.125,84,27,80,24,,
S1_up,34.168,51.420,10.681,-15.011,3.408,3.290,1.043,1.032,1.051,32,41,31,39,,
S2_up,19.388,46.929,10.485,-14.424,11.118,3.626,1.086,1.136,1.054,25,39,22,37,,
S3_up,25.989,38.796,10.631,-14.461,2.552,3.035,1.114,1.000,1.250,6,5,6,4,,
S4_up,22.860,47.862,10.450,-15.137,3.525,3.417,1.069,1.000,1.120,21,28,21,25,,
S5_up,21.136,45.621,11.281,-14.399,3.535,4.992,1.075,1.067,1.081,32,40,30,37,,
S6_up,18.873,45.847,10.253,-14.089,4.604,3.317,1.000,1.000,1.000,5,12,5,12,,
S7_up,20.879,46.554,10.883,-14.304,3.733,3.554,1.164,1.143,1.195,72,49,63,41,,
S8_up,37.938,49.451,11.333,-14.611,3.255,3.617,1.220,1.261,1.156,58,37,46,32,,
S9_up,24.193,56.782,10.458,-15.500,3.109,3.542,1.165,1.250,1.133,25,68,20,60,,
S10_up,25.727,51.052,10.656,-14.262,3.469,3.414,1.082,1.089,1.071,61,45,56,42,,
S11_up,27.124,65.829,10.818,-14.915,5.151,3.974,1.113,1.125,1.097,45,34,40,31,,
S12_up,36.205,54.312,10.858,-14.495,3.484,3.343,1.029,1.100,1.000,11,27,10,27,,
S13_up,34.716,52.373,10.282,-17.402,3.353,4.837,1.000,1.000,1.000,7,4,7,4,,
S14_up,41.840,56.576,11.164,-14.840,4.073,3.510,1.101,1.190,1.000,25,22,21,22,,
S15_up,28.505,46.264,10.379,-14.235,3.100,4.077,1.050,1.077,1.037,14,28,13,27,,
S16_up,27.149,63.541,11.025,-15.086,4.398,3.202,1.168,1.000,1.226,13,38,13,31,,
S17_up,54.881,66.684,11.486,-13.839,2.897,3.280,1.102,1.118,1.000,19,3,17,3,,
S1_down,23.365,50.484,10.631,-14.255,3.531,4.318,1.106,1.103,1.109,64,61,58,55,,
S2_down,21.720,52.157,10.382,-14.710,3.010,3.359,1.129,1.172,1.102,34,54,29,49,,
S3_down,22.313,44.916,10.664,-14.024,3.112,4.111,1.121,1.130,1.114,26,39,23,35,,
S4_down,21.909,42.454,10.361,-14.444,2.895,3.387,1.210,1.333,1.111,8,10,6,9,,
S5_down,20.897,52.770,10.539,-14.529,3.979,4.029,1.142,1.081,1.214,40,34,37,28,,
S6_down,42.900,46.819,10.130,-14.008,2.933,3.607,1.165,1.400,1.000,7,10,5,10,,
S7_down,26.319,49.943,10.661,-14.818,3.333,3.594,1.118,1.158,1.102,22,54,19,49,,
S8_down,24.750,44.196,10.939,-14.327,3.933,3.465,1.229,1.256,1.160,147,58,117,50,,
S9_down,18.567,51.516,10.775,-14.263,3.585,3.274,1.087,1.000,1.143,26,40,26,35,,
S10_down,27.251,56.278,10.923,-14.735,3.081,3.886,1.056,1.080,1.034,27,30,25,29,,
S11_down,22.092,48.195,10.638,-14.874,3.844,3.482,1.161,1.135,1.180,42,59,37,50,,
S12_down,45.883,54.490,10.404,-14.504,3.530,4.778,1.109,1.154,1.083,15,26,13,24,,
S13_down,19.187,41.015,9.936,-13.237,3.144,2.861,1.127,1.143,1.000,16,2,14,2,,
S14_down,28.248,46.700,10.982,-14.094,2.933,3.370,1.146,1.133,1.154,17,30,15,26,,
S15_down,28.505,56.821,10.379,-14.468,3.100,3.256,1.145,1.000,1.217,14,28,14,23,,
S16_down,38.935,60.750,11.476,-15.114,2.678,5.697,1.053,1.111,1.000,10,11,9,11,,
S17_down,32.880,60.190,11.095,-14.204,3.788,3.514,1.218,1.200,1.222,12,55,10,45,,
